resource,status,case_id,timestamp,activity
Page,viewed,49695,27/02/21 19:53, Case study Data Analytics
Assignment,viewed,49695,27/02/21 19:53, Data Analytics assignment
Page,viewed,28056,27/02/21 19:44, Case study Data Analytics
Assignment,viewed,55138,27/02/21 19:42, Data Analytics assignment
Assignment,viewed,55138,27/02/21 19:41, Data Analytics assignment
System,completed,55138,27/02/21 19:41, Data Analytics assignment
System,completed,55138,27/02/21 19:41, Case study Data Analytics
Page,viewed,55138,27/02/21 19:40, Case study Data Analytics
Page,viewed,28056,27/02/21 18:55, Case study Data Analytics
Assignment,viewed,67183,27/02/21 18:18, Data Analytics assignment
System,completed,67183,27/02/21 18:18, Data Analytics assignment
Assignment,viewed,67183,27/02/21 18:17, Data Analytics assignment
Page,viewed,49695,27/02/21 18:10, Case study Data Analytics
Assignment,viewed,49695,27/02/21 18:10, Data Analytics assignment
Page,viewed,67183,27/02/21 15:56, JIGSAW Machine Learning
Page,viewed,55138,27/02/21 15:54, JIGSAW Machine Learning
Page,viewed,55138,27/02/21 15:53, Case study Data Analytics
Assignment,viewed,5359,27/02/21 15:53, Data Analytics assignment
Page,viewed,5359,27/02/21 15:52, Case study Data Analytics
Page,viewed,67183,27/02/21 15:39, Case study Data Analytics
Assignment,viewed,67183,27/02/21 15:39, Data Analytics assignment
Page,viewed,37389,27/02/21 14:39, Case study Data Analytics
Assignment,viewed,67183,27/02/21 14:27, Data Analytics assignment
Page,viewed,67183,27/02/21 14:27, Case study Data Analytics
Page,viewed,67152,27/02/21 14:02, JIGSAW Machine Learning
Page,viewed,67152,27/02/21 14:02, Guide to implement Business Intelligence
Page,viewed,67183,27/02/21 13:38, JIGSAW Machine Learning
Page,viewed,67183,27/02/21 13:36, Case study Data Analytics
Page,viewed,67183,27/02/21 13:36, Data Analytics Introduction slides
Assignment,viewed,67183,27/02/21 12:32, Data Analytics assignment
URL,viewed,67183,27/02/21 12:31, Lab 1 - Data Integration - mindmap
Page,viewed,67183,27/02/21 12:31, Data Integration Introductions - slides
URL,viewed,67108,27/02/21 12:13, Lab 3 - Data Integration - mindmap
URL,viewed,67108,27/02/21 11:58, Lab 2 - Data Integration - mindmap
URL,viewed,67108,27/02/21 11:56, Lab 2 - Data Integration - mindmap
H5P,viewed,67108,27/02/21 11:56, Lab 2 - Data Integration
H5P,viewed,67108,27/02/21 11:02, Lab 2 - Data Integration
URL,viewed,67108,27/02/21 11:02, Lab 2 - Data Integration - mindmap
URL,viewed,67108,27/02/21 00:28, Lab 2 - Data Integration - mindmap
H5P,viewed,67108,27/02/21 00:28, Lab 2 - Data Integration
URL,viewed,67108,27/02/21 00:18, Lab 1 - Data Integration - mindmap
H5P,viewed,67108,27/02/21 00:17, Lab 1 - Data Integration
H5P,viewed,67108,26/02/21 23:38, Data Integration Introduction
Page,viewed,67108,26/02/21 23:37, Data Integration Introductions - slides
H5P,viewed,67108,26/02/21 23:37, Data Integration Introduction
Page,viewed,67108,26/02/21 23:37, Fundamental Concept slides
H5P,viewed,67108,26/02/21 23:18, Fundamental Concepts
H5P,viewed,67108,26/02/21 23:15, Course Presentation
H5P,viewed,67108,26/02/21 23:04, Course Presentation
Assignment,viewed,37205,26/02/21 20:28, Data Analytics assignment
System,completed,37205,26/02/21 20:28, Data Analytics assignment
Assignment,viewed,37205,26/02/21 19:42, Data Analytics assignment
Page,viewed,37205,26/02/21 19:42, JIGSAW Machine Learning
Page,viewed,37205,26/02/21 19:41, Case study Data Analytics
Assignment,viewed,50496,26/02/21 19:33, Data Analytics assignment
URL,viewed,50496,26/02/21 19:15, Pentaho Data Integration tool
URL,viewed,50496,26/02/21 19:15, Weka Machine Learning tool
Assignment,viewed,50496,25/02/21 18:28, Data Analytics assignment
System,completed,50496,25/02/21 18:28, Data Analytics assignment
Assignment,viewed,50496,25/02/21 18:26, Data Analytics assignment
Page,viewed,37205,25/02/21 17:07, JIGSAW Machine Learning
Page,viewed,37205,25/02/21 17:06, Case study Data Analytics
Assignment,viewed,50496,25/02/21 15:41, Data Analytics assignment
URL,viewed,50496,25/02/21 15:27, Lab 1 - Data Integration - mindmap
Quiz,viewed,52798,25/02/21 12:10, Learning Outcomes Assessment
System,completed,52798,25/02/21 12:10, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 12:09, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 12:09, Learning Outcomes Assessment
System,completed,52700,25/02/21 12:09, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 12:09, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 12:08, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 12:08, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 12:08, Learning Outcomes Assessment
System,completed,28095,25/02/21 12:08, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 12:08, Learning Outcomes Assessment
System,completed,50730,25/02/21 12:08, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 12:08, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 12:07, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 12:07, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 12:07, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 12:07, Learning Outcomes Assessment
System,completed,5359,25/02/21 12:07, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 12:07, Learning Outcomes Assessment
System,completed,58743,25/02/21 12:07, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 12:06, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 12:06, Learning Outcomes Assessment
System,completed,58769,25/02/21 12:06, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 12:06, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 12:06, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 12:06, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 12:06, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 12:05, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 12:05, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 12:05, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 12:05, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 12:05, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 12:05, Learning Outcomes Assessment
System,completed,67239,25/02/21 12:05, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 12:05, Learning Outcomes Assessment
System,completed,50496,25/02/21 12:05, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 12:05, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 12:04, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 12:04, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 12:04, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 12:04, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 12:04, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 12:04, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 12:04, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 12:03, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 12:03, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 12:02, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 12:02, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 12:02, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 12:02, Learning Outcomes Assessment
System,completed,37389,25/02/21 12:02, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 12:02, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 12:02, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 12:02, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 12:02, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 12:02, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 12:01, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 12:01, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 12:01, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 12:01, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 12:01, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 12:01, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 12:01, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 12:01, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 12:01, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 12:00, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 12:00, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 12:00, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 12:00, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 12:00, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 12:00, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 12:00, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 12:00, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 12:00, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:59, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:59, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:59, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 11:59, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:59, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:59, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:59, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 11:59, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:58, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:58, Learning Outcomes Assessment
System,completed,67183,25/02/21 11:58, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:58, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:58, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:58, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:58, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:57, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:57, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 11:57, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:57, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:57, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:57, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 11:57, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:57, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:57, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:56, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:56, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:56, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:56, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:56, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:56, Learning Outcomes Assessment
System,completed,67190,25/02/21 11:56, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:56, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:56, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 11:56, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:55, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:55, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:55, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 11:55, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:55, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:55, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:55, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:54, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:54, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:54, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:54, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:54, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:53, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:52, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:52, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:52, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:52, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:52, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:52, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:52, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 11:52, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:52, Learning Outcomes Assessment
Quiz,viewed,49695,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:51, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:50, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:50, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:50, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:50, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:50, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:50, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 11:50, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:50, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,49695,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:49, Learning Outcomes Assessment
System,completed,49695,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,67152,25/02/21 11:49, Learning Outcomes Assessment
System,completed,67152,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:49, Learning Outcomes Assessment
Quiz,viewed,49695,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:48, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,55138,25/02/21 11:47, Learning Outcomes Assessment
System,completed,55138,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,49695,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,67256,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 11:47, Learning Outcomes Assessment
Quiz,viewed,49695,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,28056,25/02/21 11:46, Learning Outcomes Assessment
System,completed,28056,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,55138,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,67256,25/02/21 11:46, Learning Outcomes Assessment
System,completed,67256,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,67190,25/02/21 11:46, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,55138,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,67152,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,67256,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,28056,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,67052,25/02/21 11:45, Learning Outcomes Assessment
System,completed,67052,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,49695,25/02/21 11:45, Learning Outcomes Assessment
Quiz,viewed,67152,25/02/21 11:44, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 11:44, Learning Outcomes Assessment
Quiz,viewed,28056,25/02/21 11:44, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:44, Learning Outcomes Assessment
Quiz,viewed,49695,25/02/21 11:44, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:44, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:44, Learning Outcomes Assessment
Quiz,viewed,67256,25/02/21 11:44, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,49695,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,67152,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,67256,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,67052,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,28056,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,52700,25/02/21 11:43, Learning Outcomes Assessment
Quiz,viewed,58769,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,67152,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,52798,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,67256,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,49695,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,28056,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,67052,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,55138,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,67191,25/02/21 11:42, Learning Outcomes Assessment
System,completed,67191,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,37389,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,50730,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,58743,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,67183,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,67239,25/02/21 11:42, Learning Outcomes Assessment
Quiz,viewed,67152,25/02/21 11:41, Learning Outcomes Assessment
Quiz,viewed,28095,25/02/21 11:41, Learning Outcomes Assessment
Quiz,viewed,50496,25/02/21 11:41, Learning Outcomes Assessment
Quiz,viewed,67256,25/02/21 11:41, Learning Outcomes Assessment
Quiz,viewed,67052,25/02/21 11:41, Learning Outcomes Assessment
Quiz,viewed,5359,25/02/21 11:41, Learning Outcomes Assessment
